time,longitude,latitude,FireMask,LST_Day_1km,LST_Night_1km,Emis_31,Emis_32,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,u_component_of_wind_10m,v_component_of_wind_10m,region
1636329600000,-123.1949580641512,39.20697057539652,4.5,,,,,1579.0,2439.5,1449.5,1615.0,2556.5,1838.0,1029.0,281.23904101053876,282.7067731221517,286.8173173268636,0.3654460906982422,0.37098058064778644,0.3243853251139323,-0.4024326006571452,-0.1499786376953125,1
1636416000000,-123.1949580641512,39.20697057539652,4.0,,,,,2769.5,2911.0,3199.5,2883.5,2690.0,2223.0,1171.0,282.78754870096844,283.1165078481038,286.44616889953613,0.41858482360839844,0.41019439697265625,0.3299121856689453,-1.1343364715576172,1.2661692301432292,1
1636502400000,-123.1949580641512,39.20697057539652,4.0,,14028.0,247.0,246.0,3593.5,3977.5,3507.5,3607.5,4076.5,3669.5,2559.5,282.791259765625,283.59107398986816,286.24527740478516,0.4021981557210286,0.41034380594889325,0.34255091349283856,-0.08374659220377605,-0.34073956807454425,1
1636588800000,-123.1949580641512,39.20697057539652,4.0,14458.0,14131.0,247.0,247.0,910.5,1879.5,784.0,946.5,2002.0,1596.0,877.0,284.52530225118,284.27752049763996,286.1279996236165,0.38559595743815106,0.39535268147786456,0.34665552775065106,0.16383234659830728,-0.9326301018397013,1
1636675200000,-123.1949580641512,39.20697057539652,4.0,14571.5,14167.5,247.5,246.5,712.0,2019.5,407.0,746.5,2214.5,1747.0,907.5,285.5141824086507,285.3788191477458,286.1904487609863,0.3751055399576823,0.3852113087972005,0.34835561116536456,-0.1594568888346354,-0.9339661995569865,1
1636761600000,-123.1949580641512,39.20697057539652,4.0,14646.5,,248.0,247.5,540.0,1570.0,298.5,560.5,1737.0,1415.5,789.0,285.8504288991292,285.7927729288737,286.33228556315106,0.36699167887369794,0.3773511250813802,0.3490899403889974,-0.3562024434407552,-0.7786961396535238,1
1636848000000,-123.1949580641512,39.20697057539652,5.0,,14142.5,248.5,247.5,1866.0,3143.0,1390.0,1844.0,3271.0,2436.5,1367.0,286.78149159749347,286.4387906392415,286.51144282023114,0.3599974314371745,0.370602289835612,0.3492329915364583,-0.6034088134765625,-0.5592638651529948,1
1636934400000,-123.1949580641512,39.20697057539652,3.5,,,,,2428.5,3152.5,2404.5,2502.5,3121.0,2038.0,1160.5,286.52343432108563,286.83035977681476,286.7412764231364,0.3548882802327474,0.3651479085286458,0.34912745157877606,-0.5759270985921224,-0.4432608286539714,1
1637020800000,-123.1949580641512,39.20697057539652,3.5,14292.0,,246.0,245.0,803.0,1967.5,652.0,862.0,2061.0,1612.0,879.5,286.0999062856038,286.29268646240234,286.88185119628906,0.3517163594563802,0.36119715372721356,0.3490060170491536,0.6369845072428385,-0.707617441813151,1
1637107200000,-123.1949580641512,39.20697057539652,3.0,14481.0,,248.0,247.5,650.0,1908.5,366.0,673.0,2100.5,1671.5,902.0,284.0722141265869,285.296932220459,286.921236038208,0.3470191955566406,0.35698699951171875,0.34859148661295575,-0.49278704325358075,-0.2796478271484375,1
1637193600000,-123.1949580641512,39.20697057539652,4.0,,13997.0,247.5,247.5,1229.5,1800.0,1133.0,1244.0,1854.5,1406.5,993.5,283.21999740600586,284.5297711690267,286.79507637023926,0.34360822041829425,0.35297266642252606,0.34804725646972656,-0.7306003570556641,0.09103012084960938,1
1637280000000,-123.1949580641512,39.20697057539652,4.0,,,,,5261.5,5577.0,5170.0,5290.5,5599.0,5157.5,3608.5,283.46682103474933,284.02489535013837,286.58026186625165,0.3861707051595052,0.35939915974934894,0.3478190104166667,-0.35430908203125,0.3391107718149821,1
1637366400000,-123.1949580641512,39.20697057539652,4.0,14431.0,14047.0,248.5,247.5,502.5,1509.0,255.0,557.0,1587.5,1228.5,625.0,282.7016881306966,283.6845995585124,286.3881270090739,0.3802572886149089,0.3715381622314453,0.34816551208496094,-0.39677683512369794,-0.524969736735026,1
1637452800000,-123.1949580641512,39.20697057539652,4.0,14293.5,13941.5,247.0,245.0,764.5,2421.0,427.0,815.5,2572.0,1915.5,998.5,282.12926546732587,283.25481669108075,286.16186777750653,0.36498260498046875,0.3685525258382161,0.34821001688639325,-0.9572273890177408,-0.6178868611653646,1
1637539200000,-123.1949580641512,39.20697057539652,4.0,14433.0,13936.0,248.5,248.0,594.0,1648.5,318.0,618.0,1822.5,1453.0,814.5,282.6087563832601,283.29140345255536,285.932580947876,0.35622278849283856,0.36385663350423175,0.34801673889160156,-0.757544199625651,-0.5017043749491373,1
1637625600000,-123.1949580641512,39.20697057539652,4.0,14333.0,,245.5,243.5,675.0,2000.0,252.5,701.0,2175.5,1736.0,898.0,282.4164568583171,283.3529815673828,285.7604395548503,0.35007158915201825,0.3592821756998698,0.3476715087890625,0.48590977986653644,-1.0800100962320964,1
1637712000000,-123.1949580641512,39.20697057539652,5.0,14325.5,13831.0,248.5,248.0,648.0,1797.5,349.5,649.0,1991.5,1586.0,892.0,281.3381290435791,282.5817050933838,285.5690835316976,0.3450400034586589,0.35517120361328125,0.3472455342610677,-0.34975560506184894,-0.9388012091318766,1
